altblockflöjt	a l t b l ɔ k f l œ j t
alternativ	a l t a n a t 'iː v
alternativfält	a l t ɛ r n a t ɪ v f ɛ l t
alternativt	a l t a n a t 'iː v t
alternera	a l t a n 'eː r a
alternerar	a l t a n 'eː r a r
altruism	a l t r ɵ ɪ s m
altruist	a l t r ɵ 'ɪ s t
aluminium	a l ɵ m 'iː n ɪ ɵ m
alun	²s 'ɑː l ɵ n
alunda	'ɑː l ɵ n d a
alv	a l v
alveolar	a l v ɛ ʊ l 'ɑː r
amalgam	a m a l ɡ 'ɑː m
amanda	a ²s m a n d a
amason	a m a s 'oː n
amatör	a m a t 'øː r
amatörmässig	a m a t œ r m ɛ s ɪ ɡ
ambassad	a m b a s 'ɑː d
ambassadråd	a m b a s a d r 'ɑː d
ambassadör	a m b a s a d 'øː r
ambition	a m b ɪ ɧ 'uː n
ambitiös	a m b ɪ ɧ 'øː s
ambivalent	a m b ɪ v a l 'ɛ n t
ambulans	a m b ɵ l 'a n s
ambulera	a m b ɵ l 'eː r a
ambulerar	a m b ɵ l 'eː r a r
amen	'a m ɛ n
amerika	a m 'eː r ɪ k a
amerikan	a m ɛ r ɪ k 'ɑː n
amerikanare	²a m ɛ r ɪ k 'ɑː n a r ɛ
amerikansk	a m ɛ r ɪ k 'ɑː n s k
amerikat	a m 'eː r ɪ k a t
ametist	a m ɛ t ɪ s t
amfiteater	²'a m f ɪ t ɛ ɑː t ɛ r
amiral	a m ɪ r 'ɑː l
amma	²'a m a
ammar	²'a m a r
ammunition	a m ɵ n ɪ ɧ 'uː n
amnesti	a m n ɛ s t 'iː
amning	²'a m n ɪ ŋ
amok	a m 'ɔ k
amoralisk	a m ʊ r 'ɑː l ɪ s k
amortera	a m ʊ t 'eː r a
amorterar	a m ʊ t 'eː r a r
amortering	a m ʊ t 'eː r ɪ ŋ
ampel	²'a m p ɛ l
amper	a m p ɛ r
ampere	a m p 'ɛː r
ampull	a m p 'ɵ l
amputera	a m p ɵ t 'eː r a
amputerar	a m p ɵ t 'eː r a r
ams	a m s
amu	'ɑː m ɵ
amu-center	²'ɑː m ɵ s ɛ n t ɛ r
amulett	a m ɵ l 'ɛ t
amurfalk	'ɑː m ɵ r f a l k
ana	²'ɑː n a
anabol	a n a b 'oː l
anakronism	a n a k r ʊ n 'ɪ s m
analfabet	a n a l f a b 'eː t
analog	a n a l 'oː ɡ
analogi	a n a l ɔ ɡ 'iː
analys	a n a l 'yː s
analysera	a n a l ʏ s 'eː r a
analyserar	a n a l ʏ s 'eː r a r
analöppning	²a n 'ɑː l œ p n ɪ ŋ
anamma	a n 'a m a
anammar	a n 'a m a r
anamnes	a n a m n 'eː s
ananas	²'a n a n a s
anar	²'ɑː n a r
anarki	a n a r k 'iː
anarkist	a n a r k 'ɪ s t
anatolien	a n a t ɔ l ɪ ɛ n
anatomi	a n a t ɔ m 'iː
anbefalla	²'a n b ɛ f a l ɛ r
anblick	²'a n b l ɪ k
anbringa	²'a n b r ɪ ŋ a
anbringar	²'a n b r ɪ ŋ a r
anbud	²'a n b ʉː d
and	a n d
anda	²'a n d a
andakt	²'a n d a k t
andan	²'a n d a n
andas	²'a n d a s
ande	²'a n d ɛ
andedräkt	²'a n d ɛ d r ɛ k t
andel	²'a n d eː l
andelslägenhet	²'a n d eː l s l ɛː ɡ ɛ n h eː t
andemening	²'a n d ɛ m eː n ɪ ŋ
anden	²s a n d ɛ n
anders	â n d ɛ ɕ
